Sample,Grain,Ca_apfu,Si_apfu,P_apfu,F_apfu,Cl_apfu,OH_apfu,Mn_apfu,Mg_apfu,Fe_apfu,Sr_apfu,Na_apfu,Ce_apfu,La_apfu,K_apfu,Y_apfu,S_apfu,Corr_Total_wt_pct,Net_Corr_Total_wt_pct,M_site_10,X_site_6,rmr0_1999,eCl_1999_apfu,rmr0_2007,eCl_2007_apfu
MU19-12,1,9.993,0.016,5.964,1.681,0.020,0.299,0.015,0.004,0.009,0.003,0.004,0.002,0.004,0.000,0.000,0.008,99.9,100.0,10.0,6.0,0.834,0.018,0.825,0.024
MU19-12,2,10.061,0.008,5.949,1.989,0.019,0.000,0.009,0.000,0.003,0.001,0.001,0.002,0.001,0.000,0.005,0.009,99.8,99.8,10.1,6.0,0.857,-0.052,0.024,
MU19-12,3,10.073,0.006,5.938,1.871,0.021,0.108,0.011,0.001,0.008,0.001,0.009,0.005,0.003,0.000,0.001,0.010,100.7,100.7,10.1,6.0,0.844,-0.013,0.829,0.005
MU19-12,4,10.022,0.007,5.965,1.683,0.020,0.297,0.011,0.001,0.003,0.001,0.005,0.000,0.001,0.000,0.000,0.010,99.9,99.9,10.0,6.0,0.842,-0.006,0.830,0.001
MU19-12,5,10.131,0.011,5.913,1.865,0.022,0.113,0.010,0.001,0.008,0.000,0.004,0.000,0.001,0.000,0.002,0.013,99.4,99.5,10.1,5.9,0.846,-0.016,0.002,
MU19-12,6,10.088,0.006,5.940,1.778,0.020,0.202,0.011,0.000,0.000,0.004,0.006,0.003,0.001,0.000,0.001,0.008,100.2,100.2,10.1,6.0,0.850,-0.029,0.011,
MU19-12,7,10.086,0.017,5.925,2.208,0.023,0.000,0.008,0.002,0.004,0.002,0.005,0.000,0.000,0.000,0.006,0.014,100.4,100.4,10.1,6.0,0.855,-0.045,0.003,
MU19-12,8,10.053,0.012,5.940,2.107,0.018,0.000,0.017,0.003,0.008,0.000,0.012,0.002,0.000,0.000,0.000,0.012,99.8,99.8,10.1,6.0,0.848,-0.023,0.827,0.012
MU19-12,9,10.099,0.011,5.924,2.060,0.021,0.000,0.014,0.003,0.006,0.001,0.006,0.002,0.000,0.000,0.006,0.010,100.4,100.4,10.1,6.0,0.851,-0.034,0.001,
MU19-12,10,10.088,0.007,5.935,2.234,0.016,0.000,0.013,0.002,0.006,0.000,0.005,0.003,0.000,0.001,0.001,0.010,100.3,100.3,10.1,6.0,0.852,-0.035,0.828,0.007
MU19-12,11,10.104,0.008,5.929,2.099,0.023,0.000,0.015,0.000,0.005,0.002,0.001,0.001,0.000,0.001,0.003,0.010,100.1,100.1,10.1,6.0,0.852,-0.036,0.830,0.000
MU19-12,12,10.132,0.007,5.919,1.806,0.026,0.168,0.012,0.000,0.005,0.001,0.004,0.000,0.003,0.000,0.001,0.010,100.0,100.0,10.1,5.9,0.845,-0.013,0.829,0.002
MU19-12,13,10.064,0.005,5.945,2.065,0.026,0.000,0.007,0.001,0.003,0.000,0.016,0.003,0.003,0.000,0.004,0.010,100.2,100.2,10.1,6.0,0.855,-0.046,0.011,
MU19-12,14,10.088,0.009,5.935,2.016,0.018,0.000,0.008,0.000,0.004,0.001,0.005,0.000,0.000,0.000,0.005,0.011,100.2,100.2,10.1,6.0,0.856,-0.050,0.021,
MU19-12,15,10.063,0.022,5.919,2.150,0.020,0.000,0.016,0.002,0.006,0.001,0.002,0.005,0.004,0.000,0.003,0.018,100.4,100.4,10.1,6.0,0.850,-0.031,0.828,0.009
MU19-12,16,9.984,0.028,5.931,1.666,0.021,0.313,0.016,0.001,0.005,0.002,0.009,0.004,0.002,0.001,0.004,0.029,100.2,100.3,10.0,6.0,0.836,0.012,0.825,0.022
MU19-12,17,10.086,0.007,5.932,1.756,0.015,0.229,0.012,0.000,0.005,0.001,0.009,0.000,0.000,0.000,0.004,0.014,99.8,99.8,10.1,6.0,0.843,-0.009,0.830,0.002
MU19-12,18,10.082,0.015,5.933,1.865,0.017,0.117,0.012,0.001,0.006,0.000,0.007,0.000,0.000,0.000,0.007,0.007,100.1,100.1,10.1,6.0,0.847,-0.021,0.003,
MU19-12,19,10.088,0.011,5.923,1.983,0.019,0.000,0.014,0.000,0.007,0.001,0.003,0.002,0.004,0.001,0.003,0.015,100.4,100.4,10.1,6.0,0.850,-0.030,0.005,
MU19-12,20,10.078,0.006,5.939,1.959,0.021,0.020,0.015,0.001,0.002,0.002,0.005,0.004,0.000,0.000,0.001,0.010,100.1,100.1,10.1,6.0,0.854,-0.041,0.012,
MU19-12,21,10.108,0.011,5.926,1.864,0.021,0.116,0.011,0.000,0.000,0.002,0.007,0.005,0.001,0.000,0.001,0.009,100.4,100.4,10.1,6.0,0.853,-0.040,0.016,
MU19-12,22,9.978,0.014,5.979,2.031,0.019,0.000,0.008,0.000,0.003,0.001,0.004,0.002,0.000,0.000,0.002,0.009,100.7,100.8,10.0,6.0,0.857,-0.052,0.022,
MU19-12,23,10.116,0.017,5.914,1.761,0.021,0.218,0.010,0.001,0.006,0.000,0.011,0.004,0.000,0.000,0.006,0.009,99.4,99.5,10.1,5.9,0.842,-0.005,0.829,0.006
MU19-12,24,10.068,0.010,5.940,2.160,0.022,0.000,0.008,0.000,0.004,0.003,0.011,0.001,0.000,0.001,0.000,0.013,100.7,100.7,10.1,6.0,0.855,-0.045,0.006,
MU19-12,25,10.140,0.022,5.887,1.893,0.020,0.086,0.015,0.000,0.005,0.002,0.009,0.002,0.005,0.000,0.004,0.018,99.6,99.6,10.2,5.9,0.848,-0.023,0.830,0.001
MU19-12,26,10.075,0.008,5.942,1.757,0.019,0.225,0.013,0.000,0.006,0.002,0.006,0.004,0.000,0.000,0.000,0.008,99.9,99.9,10.1,6.0,0.842,-0.004,0.829,0.007
MU19-12,27,10.078,0.010,5.947,1.803,0.019,0.178,0.012,0.000,0.004,0.001,0.003,0.002,0.000,0.000,0.001,0.004,100.2,100.2,10.1,6.0,0.847,-0.021,0.006,
MU19-12,28,10.049,0.011,5.946,1.822,0.021,0.158,0.017,0.001,0.003,0.002,0.007,0.000,0.000,0.000,0.003,0.011,100.2,100.2,10.1,6.0,0.846,-0.018,0.830,0.002
MU19-12,29,10.091,0.011,5.928,2.055,0.017,0.000,0.014,0.000,0.004,0.003,0.007,0.003,0.003,0.000,0.005,0.009,100.5,100.5,10.1,6.0,0.853,-0.039,0.004,
MU19-12,30,10.063,0.018,5.928,1.644,0.020,0.336,0.011,0.000,0.007,0.003,0.013,0.002,0.000,0.000,0.002,0.015,100.0,100.1,10.1,6.0,0.835,0.015,0.826,0.019
MU19-12,31,10.177,0.006,5.911,1.753,0.023,0.224,0.008,0.000,0.002,0.001,0.010,0.000,0.000,0.000,0.003,0.004,99.6,99.6,10.2,5.9,0.847,-0.022,0.009,
MU19-12,32,10.157,0.019,5.893,1.947,0.018,0.035,0.009,0.000,0.000,0.003,0.004,0.001,0.000,0.001,0.009,0.014,99.7,99.7,10.2,5.9,0.858,-0.056,0.028,
MU19-12,33,10.045,0.003,5.956,1.995,0.019,0.000,0.013,0.001,0.002,0.000,0.008,0.003,0.005,0.001,0.005,0.007,100.3,100.4,10.1,6.0,0.855,-0.047,0.014,
MU19-12,34,10.087,0.009,5.942,1.828,0.019,0.153,0.013,0.001,0.001,0.001,0.003,0.003,0.000,0.000,0.003,0.005,99.9,99.9,10.1,6.0,0.850,-0.031,0.011,
MU19-12,35,10.069,0.008,5.935,1.893,0.018,0.089,0.016,0.001,0.008,0.001,0.011,0.003,0.001,0.000,0.005,0.010,100.5,100.6,10.1,6.0,0.844,-0.011,0.828,0.010
MU19-13,1,10.101,0.011,5.910,2.000,0.030,0.000,0.031,0.001,0.002,0.000,0.034,0.001,0.001,0.000,0.031,0.000,98.7,98.8,10.2,6.0,0.843,-0.010,0.821,0.040
MU19-13,2,10.084,0.010,5.921,1.759,0.032,0.208,0.029,0.000,0.006,0.000,0.028,0.001,0.001,0.000,0.019,0.004,99.0,99.0,10.1,6.0,0.831,0.027,0.818,0.055
MU19-13,3,10.001,0.011,5.948,1.695,0.027,0.278,0.030,0.000,0.002,0.000,0.033,0.003,0.000,0.001,0.024,0.006,99.2,99.3,10.1,6.0,0.832,0.025,0.818,0.053
MU19-13,4,10.066,0.009,5.927,1.716,0.021,0.263,0.026,0.000,0.007,0.001,0.025,0.003,0.001,0.000,0.023,0.004,99.1,99.1,10.1,6.0,0.831,0.028,0.819,0.049
MU19-13,5,10.084,0.011,5.927,1.796,0.023,0.181,0.022,0.001,0.005,0.003,0.020,0.000,0.000,0.000,0.021,0.001,99.2,99.2,10.1,6.0,0.838,0.008,0.823,0.032
MU19-13,6,10.094,0.009,5.920,1.723,0.025,0.252,0.030,0.000,0.008,0.000,0.026,0.001,0.000,0.000,0.020,0.002,99.1,99.1,10.1,6.0,0.827,0.037,0.817,0.060
MU19-13,7,10.010,0.012,5.942,1.704,0.025,0.271,0.031,0.000,0.006,0.000,0.040,0.003,0.003,0.000,0.023,0.003,99.7,99.7,10.1,6.0,0.827,0.039,0.815,0.067
MU19-13,8,9.992,0.009,5.957,1.750,0.032,0.218,0.026,0.000,0.009,0.000,0.026,0.001,0.001,0.000,0.021,0.005,100.0,100.0,10.0,6.0,0.829,0.033,0.817,0.056
MU19-13,9,10.144,0.009,5.889,1.856,0.031,0.113,0.039,0.001,0.005,0.001,0.032,0.007,0.004,0.001,0.018,0.003,98.7,98.8,10.2,5.9,0.831,0.027,0.814,0.069
MU19-13,10,10.011,0.012,5.944,1.886,0.031,0.083,0.030,0.002,0.003,0.000,0.028,0.006,0.000,0.000,0.024,0.003,100.0,100.0,10.1,6.0,0.839,0.003,0.821,0.042
MU19-13,11,9.987,0.009,5.964,1.678,0.027,0.294,0.031,0.000,0.006,0.001,0.023,0.000,0.000,0.000,0.017,0.004,100.1,100.1,10.0,6.0,0.828,0.036,0.817,0.058
MU19-13,12,10.049,0.014,5.927,1.680,0.031,0.289,0.030,0.001,0.004,0.003,0.029,0.001,0.000,0.000,0.027,0.004,99.7,99.8,10.1,6.0,0.829,0.033,0.816,0.060
MU19-13,13,10.053,0.013,5.929,1.898,0.028,0.074,0.028,0.000,0.004,0.000,0.034,0.002,0.000,0.000,0.025,0.003,99.4,99.5,10.1,6.0,0.839,0.002,0.821,0.041
MU19-13,14,10.031,0.009,5.946,1.713,0.023,0.263,0.025,0.001,0.003,0.001,0.017,0.001,0.002,0.001,0.019,0.005,99.7,99.7,10.1,6.0,0.835,0.014,0.822,0.036
MU19-13,15,10.044,0.010,5.937,1.626,0.025,0.349,0.027,0.001,0.004,0.001,0.028,0.001,0.000,0.000,0.023,0.004,99.1,99.1,10.1,6.0,0.829,0.033,0.818,0.053
MU19-13,16,10.050,0.010,5.927,1.807,0.028,0.166,0.031,0.000,0.002,0.002,0.033,0.002,0.004,0.000,0.027,0.003,99.5,99.5,10.1,6.0,0.836,0.013,0.819,0.050
MU19-13,17,10.123,0.009,5.906,1.880,0.029,0.090,0.027,0.000,0.005,0.003,0.024,0.003,0.001,0.000,0.022,0.002,99.2,99.3,10.2,5.9,0.839,0.004,0.821,0.039
MU19-13,18,10.085,0.012,5.913,1.568,0.025,0.408,0.031,0.000,0.005,0.000,0.037,0.004,0.001,0.000,0.025,0.003,98.9,99.0,10.2,6.0,0.821,0.053,0.813,0.073
MU19-13,19,10.004,0.012,5.945,1.950,0.026,0.024,0.027,0.001,0.010,0.001,0.035,0.005,0.001,0.000,0.025,0.002,100.2,100.3,10.1,6.0,0.835,0.014,0.819,0.051
MU19-13,20,10.009,0.014,5.945,1.932,0.025,0.043,0.027,0.003,0.005,0.003,0.028,0.003,0.001,0.000,0.030,0.000,99.8,99.8,10.1,6.0,0.841,-0.003,0.822,0.037
MU19-13,21,10.047,0.016,5.939,1.709,0.018,0.273,0.023,0.000,0.008,0.000,0.024,0.000,0.000,0.001,0.018,0.001,99.6,99.6,10.1,6.0,0.831,0.026,0.820,0.043
MU19-13,22,10.073,0.012,5.927,1.839,0.026,0.135,0.025,0.000,0.004,0.000,0.019,0.000,0.001,0.000,0.020,0.006,99.6,99.6,10.1,6.0,0.841,-0.001,0.824,0.028
MU19-13,23,10.079,0.015,5.916,1.832,0.028,0.140,0.038,0.000,0.006,0.000,0.026,0.003,0.000,0.000,0.019,0.004,99.0,99.1,10.1,6.0,0.831,0.027,0.816,0.063
MU19-13,24,9.987,0.007,5.971,1.920,0.020,0.060,0.024,0.000,0.004,0.001,0.019,0.002,0.000,0.001,0.020,0.000,100.2,100.3,10.0,6.0,0.845,-0.014,0.826,0.020
MU19-13,25,10.077,0.006,5.930,2.029,0.028,0.000,0.027,0.000,0.008,0.000,0.031,0.003,0.001,0.000,0.016,0.002,99.8,99.9,10.1,6.0,0.839,0.003,0.820,0.044
MU19-13,26,10.016,0.010,5.952,1.858,0.026,0.116,0.032,0.000,0.002,0.000,0.017,0.000,0.000,0.000,0.021,0.003,99.9,99.9,10.1,6.0,0.840,0.001,0.822,0.036
MU19-13,27,10.043,0.012,5.946,1.696,0.021,0.282,0.021,0.002,0.001,0.000,0.013,0.003,0.002,0.000,0.020,0.000,99.9,99.9,10.1,6.0,0.839,0.003,0.825,0.023
MU19-13,28,10.056,0.014,5.915,1.897,0.034,0.069,0.045,0.001,0.004,0.000,0.038,0.004,0.003,0.001,0.024,0.004,99.0,99.1,10.1,6.0,0.831,0.026,0.813,0.076
MU19-13,29,10.029,0.014,5.936,1.766,0.033,0.201,0.042,0.000,0.003,0.002,0.035,0.002,0.001,0.001,0.023,0.000,99.5,99.6,10.1,6.0,0.828,0.036,0.813,0.076
MU19-13,30,10.068,0.007,5.936,1.961,0.025,0.015,0.026,0.000,0.003,0.000,0.026,0.000,0.000,0.000,0.020,0.002,100.1,100.1,10.1,6.0,0.846,-0.017,0.825,0.023
MU19-13,31,9.996,0.007,5.961,1.733,0.026,0.241,0.028,0.000,0.003,0.002,0.024,0.004,0.000,0.000,0.022,0.001,99.8,99.9,10.1,6.0,0.835,0.016,0.820,0.043
MU19-13,32,10.028,0.008,5.955,1.632,0.023,0.345,0.025,0.002,0.001,0.000,0.016,0.003,0.000,0.000,0.018,0.001,100.1,100.1,10.1,6.0,0.834,0.017,0.822,0.035
MU19-13,33,9.998,0.008,5.948,1.889,0.028,0.084,0.032,0.001,0.002,0.000,0.042,0.003,0.002,0.000,0.032,0.002,99.6,99.7,10.1,6.0,0.839,0.003,0.819,0.048
MU19-13,34,10.019,0.007,5.955,1.890,0.027,0.083,0.028,0.001,0.003,0.000,0.028,0.002,0.001,0.000,0.016,0.002,100.1,100.1,10.1,6.0,0.841,-0.002,0.822,0.034
MU19-13,35,10.098,0.008,5.928,1.969,0.021,0.011,0.021,0.000,0.000,0.002,0.020,0.001,0.000,0.000,0.019,0.001,100.1,100.1,10.1,6.0,0.852,-0.036,0.829,0.003
MU19-13,36,10.077,0.002,5.940,1.820,0.023,0.158,0.028,0.000,0.002,0.000,0.029,0.001,0.000,0.000,0.015,0.000,99.7,99.7,10.1,6.0,0.840,0.001,0.823,0.032
MU19-14,1,10.042,0.037,5.873,2.033,0.005,0.000,0.020,0.001,0.040,0.001,0.004,0.003,0.002,0.000,0.030,0.029,99.4,99.4,10.1,6.0,0.810,0.083,0.809,0.092
MU19-14,2,10.038,0.066,5.889,1.824,0.002,0.174,0.018,0.001,0.004,0.001,0.010,0.002,0.000,0.000,0.045,0.002,99.2,99.2,10.1,6.0,0.844,-0.012,0.827,0.013
MU19-14,3,10.085,0.003,5.949,2.010,0.003,0.000,0.017,0.000,0.006,0.000,0.006,0.002,0.000,0.000,0.001,0.003,99.9,99.9,10.1,6.0,0.854,-0.041,0.014,
MU19-14,4,10.090,0.004,5.938,2.247,0.004,0.000,0.021,0.000,0.002,0.000,0.012,0.003,0.000,0.000,0.013,0.001,99.9,99.9,10.1,6.0,0.854,-0.044,0.828,0.008
MU19-14,5,10.000,0.031,5.943,2.003,0.006,0.000,0.015,0.001,0.011,0.003,0.000,0.003,0.003,0.000,0.018,0.004,99.3,99.3,10.0,6.0,0.846,-0.017,0.829,0.006
MU19-14,6,10.037,0.010,5.957,1.740,0.004,0.256,0.011,0.001,0.006,0.001,0.010,0.001,0.004,0.000,0.010,0.001,99.8,99.8,10.1,6.0,0.843,-0.008,0.830,0.001
MU19-14,7,10.099,0.041,5.895,2.211,0.003,0.000,0.020,0.000,0.004,0.000,0.004,0.000,0.000,0.000,0.035,0.001,99.8,99.8,10.1,6.0,0.852,-0.038,0.828,0.011
MU19-14,8,10.089,0.038,5.907,1.974,0.005,0.021,0.020,0.001,0.001,0.004,0.003,0.001,0.003,0.000,0.023,0.000,99.3,99.3,10.1,6.0,0.855,-0.046,0.011,
MU19-14,9,10.100,0.016,5.923,1.773,0.003,0.224,0.017,0.001,0.004,0.002,0.005,0.003,0.000,0.000,0.012,0.003,99.8,99.8,10.1,6.0,0.844,-0.012,0.829,0.002
MU19-14,10,10.093,0.000,5.946,1.803,0.004,0.193,0.016,0.003,0.004,0.001,0.004,0.001,0.000,0.000,0.004,0.002,100.0,100.0,10.1,6.0,0.846,-0.018,0.004,
MU19-14,11,10.121,0.032,5.898,1.896,0.007,0.097,0.016,0.001,0.006,0.000,0.004,0.002,0.001,0.000,0.020,0.003,99.4,99.4,10.2,5.9,0.847,-0.021,0.830,0.001
MU19-14,12,10.103,0.033,5.899,1.783,0.003,0.214,0.016,0.000,0.003,0.000,0.007,0.004,0.004,0.001,0.026,0.004,99.3,99.3,10.1,6.0,0.845,-0.014,0.829,0.004
MU19-14,13,10.088,0.021,5.927,1.872,0.005,0.123,0.014,0.002,0.003,0.002,0.003,0.003,0.000,0.000,0.013,0.002,99.7,99.7,10.1,6.0,0.851,-0.032,0.011,
MU19-14,14,10.122,0.005,5.931,2.118,0.003,0.000,0.013,0.001,0.005,0.001,0.005,0.002,0.000,0.000,0.006,0.002,99.8,99.8,10.1,6.0,0.855,-0.048,0.012,
MU19-14,15,10.079,0.035,5.907,2.162,0.003,0.000,0.012,0.001,0.001,0.002,0.007,0.000,0.004,0.000,0.032,0.003,99.9,99.9,10.1,6.0,0.858,-0.056,0.011,
MU19-14,16,10.135,0.029,5.892,1.758,0.004,0.238,0.024,0.001,0.005,0.001,0.005,0.005,0.001,0.000,0.014,0.004,98.9,98.9,10.2,5.9,0.840,0.001,0.826,0.018
MU19-14,17,10.042,0.002,5.958,2.053,0.003,0.000,0.019,0.001,0.003,0.001,0.014,0.001,0.000,0.001,0.013,0.003,100.3,100.3,10.1,6.0,0.854,-0.043,0.006,
MU19-14,18,10.099,0.019,5.924,1.908,0.004,0.088,0.019,0.000,0.006,0.004,0.001,0.002,0.001,0.000,0.010,0.002,99.1,99.1,10.1,6.0,0.848,-0.022,0.830,0.000
MU19-14,19,10.081,0.026,5.925,2.257,0.003,0.000,0.017,0.001,0.005,0.000,0.003,0.000,0.000,0.000,0.019,0.000,99.7,99.7,10.1,6.0,0.853,-0.041,0.829,0.006
MU19-14,20,10.107,0.005,5.936,2.091,0.003,0.000,0.020,0.003,0.009,0.000,0.006,0.000,0.001,0.000,0.003,0.000,99.6,99.6,10.1,6.0,0.848,-0.023,0.828,0.008
MU19-14,21,10.106,0.016,5.926,2.187,0.004,0.000,0.014,0.000,0.004,0.001,0.006,0.002,0.000,0.000,0.008,0.003,99.8,99.8,10.1,6.0,0.856,-0.049,0.008,
MU19-14,22,10.107,0.036,5.892,2.038,0.005,0.000,0.016,0.002,0.003,0.000,0.004,0.000,0.002,0.002,0.033,0.005,99.5,99.5,10.2,5.9,0.854,-0.043,0.006,
MU19-14,23,10.104,0.008,5.936,1.876,0.004,0.120,0.015,0.002,0.006,0.000,0.007,0.005,0.000,0.000,0.005,0.000,99.8,99.8,10.1,6.0,0.848,-0.025,0.007,
MU19-14,24,10.080,0.037,5.908,2.110,0.004,0.000,0.017,0.000,0.003,0.000,0.003,0.006,0.000,0.000,0.023,0.004,99.6,99.6,10.1,6.0,0.855,-0.046,0.006,
MU19-14,25,10.110,0.010,5.925,1.799,0.004,0.197,0.016,0.001,0.003,0.002,0.005,0.004,0.000,0.000,0.012,0.003,99.3,99.3,10.1,6.0,0.847,-0.019,0.003,
MU19-14,26,10.141,0.026,5.891,1.943,0.003,0.054,0.020,0.000,0.004,0.002,0.003,0.007,0.000,0.001,0.022,0.003,99.0,99.0,10.2,5.9,0.850,-0.029,0.830,0.000
MU19-14,27,10.095,0.003,5.946,2.184,0.002,0.000,0.018,0.002,0.006,0.000,0.002,0.000,0.000,0.000,0.000,0.003,99.8,99.8,10.1,6.0,0.853,-0.039,0.002,
MU19-14,28,10.054,0.026,5.933,2.128,0.005,0.000,0.018,0.000,0.006,0.000,0.003,0.007,0.000,0.000,0.016,0.001,99.6,99.6,10.1,6.0,0.852,-0.036,0.829,0.002
MU19-14,29,10.135,0.002,5.928,2.001,0.003,0.000,0.018,0.003,0.009,0.000,0.010,0.000,0.000,0.000,0.003,0.001,99.6,99.6,10.2,5.9,0.849,-0.027,0.003,
MU19-14,30,10.173,0.006,5.910,1.923,0.003,0.074,0.017,0.001,0.006,0.003,0.004,0.002,0.000,0.001,0.002,0.002,99.4,99.4,10.2,5.9,0.849,-0.027,0.006,
MU19-14,31,10.114,0.014,5.922,2.076,0.003,0.000,0.013,0.000,0.002,0.001,0.008,0.003,0.000,0.000,0.015,0.002,99.5,99.5,10.1,6.0,0.858,-0.056,0.020,
MU19-14,32,10.087,0.031,5.917,2.080,0.003,0.000,0.015,0.000,0.006,0.000,0.003,0.001,0.000,0.001,0.021,0.000,100.0,100.0,10.1,6.0,0.852,-0.038,0.005,
MU19-14,33,10.078,0.030,5.923,1.863,0.002,0.135,0.015,0.003,0.005,0.000,0.005,0.003,0.000,0.000,0.017,0.001,99.3,99.3,10.1,6.0,0.849,-0.026,0.006,
MU19-14,34,10.128,0.002,5.931,2.253,0.003,0.000,0.018,0.000,0.003,0.001,0.010,0.000,0.000,0.000,0.006,0.002,100.0,100.0,10.1,6.0,0.855,-0.047,0.830,0.002
MU19-14,35,10.115,0.004,5.931,1.819,0.004,0.177,0.018,0.003,0.008,0.002,0.003,0.002,0.001,0.000,0.002,0.003,99.7,99.7,10.1,6.0,0.842,-0.006,0.828,0.008
MU19-15,1,10.102,0.012,5.918,1.875,0.004,0.121,0.010,0.003,0.003,0.000,0.021,0.001,0.002,0.000,0.025,0.004,99.6,99.6,10.2,5.9,0.851,-0.032,0.008,
MU19-15,2,10.065,0.007,5.953,1.932,0.006,0.062,0.005,0.000,0.000,0.000,0.018,0.002,0.000,0.000,0.014,0.000,99.8,99.8,10.1,6.0,0.859,-0.060,0.033,
MU19-15,3,9.988,0.008,5.977,2.086,0.007,0.000,0.012,0.000,0.001,0.000,0.017,0.000,0.001,0.002,0.019,0.001,100.6,100.7,10.0,6.0,0.858,-0.057,0.017,
MU19-15,4,10.054,0.011,5.946,2.170,0.005,0.000,0.018,0.000,0.001,0.000,0.017,0.000,0.000,0.000,0.022,0.000,99.4,99.4,10.1,6.0,0.856,-0.048,0.830,0.000
MU19-15,5,10.025,0.003,5.962,1.973,0.004,0.022,0.014,0.001,0.004,0.003,0.021,0.000,0.001,0.001,0.017,0.001,100.3,100.4,10.1,6.0,0.854,-0.042,0.011,
MU19-15,6,10.063,0.003,5.950,2.110,0.007,0.000,0.011,0.001,0.004,0.000,0.024,0.002,0.002,0.001,0.015,0.000,100.0,100.0,10.1,6.0,0.855,-0.045,0.006,
MU19-15,7,10.042,0.023,5.932,1.695,0.006,0.299,0.013,0.000,0.003,0.000,0.017,0.001,0.000,0.001,0.033,0.002,99.5,99.6,10.1,6.0,0.842,-0.005,0.828,0.009
MU19-15,8,10.038,0.002,5.964,2.139,0.007,0.000,0.008,0.002,0.001,0.001,0.011,0.000,0.000,0.001,0.011,0.005,100.8,100.8,10.1,6.0,0.860,-0.062,0.022,
MU19-15,9,9.999,0.011,5.962,1.693,0.004,0.303,0.013,0.001,0.003,0.001,0.026,0.001,0.000,0.000,0.025,0.001,100.0,100.0,10.1,6.0,0.842,-0.005,0.828,0.010
MU19-15,10,10.012,0.002,5.968,1.928,0.005,0.067,0.013,0.002,0.005,0.000,0.019,0.000,0.000,0.000,0.018,0.003,100.5,100.5,10.1,6.0,0.851,-0.034,0.008,
MU19-15,11,10.032,0.026,5.933,2.072,0.005,0.000,0.017,0.000,0.005,0.000,0.021,0.000,0.001,0.001,0.032,0.000,99.7,99.7,10.1,6.0,0.851,-0.034,0.829,0.006
MU19-15,12,10.053,0.003,5.949,1.799,0.004,0.197,0.018,0.002,0.006,0.000,0.025,0.001,0.003,0.000,0.015,0.001,99.8,99.8,10.1,6.0,0.842,-0.005,0.827,0.014
MU19-15,13,10.060,0.012,5.943,1.727,0.008,0.265,0.014,0.000,0.003,0.002,0.024,0.001,0.000,0.001,0.018,0.000,99.5,99.5,10.1,6.0,0.844,-0.010,0.829,0.006
MU19-15,14,10.041,0.015,5.940,1.853,0.005,0.142,0.009,0.001,0.002,0.002,0.022,0.004,0.003,0.000,0.026,0.001,100.0,100.0,10.1,6.0,0.851,-0.033,0.009,
MU19-15,15,9.994,0.014,5.956,1.806,0.008,0.186,0.015,0.000,0.005,0.000,0.026,0.002,0.002,0.001,0.032,0.000,99.8,99.8,10.1,6.0,0.843,-0.008,0.827,0.015
MU19-15,16,10.037,0.005,5.957,1.977,0.004,0.019,0.005,0.001,0.003,0.000,0.028,0.002,0.002,0.000,0.020,0.001,100.3,100.3,10.1,6.0,0.858,-0.054,0.025,
MU19-15,17,10.074,0.012,5.933,1.614,0.006,0.379,0.010,0.000,0.004,0.001,0.020,0.002,0.004,0.000,0.022,0.001,99.3,99.3,10.1,6.0,0.838,0.006,0.827,0.013
MU19-15,18,9.998,0.002,5.981,1.879,0.007,0.114,0.007,0.002,0.001,0.000,0.019,0.000,0.002,0.001,0.014,0.000,100.2,100.2,10.0,6.0,0.856,-0.048,0.024,
MU19-15,19,10.039,0.012,5.949,1.788,0.003,0.209,0.015,0.000,0.004,0.000,0.018,0.000,0.002,0.001,0.017,0.003,100.0,100.0,10.1,6.0,0.845,-0.016,0.830,0.002
MU19-15,20,10.036,0.004,5.964,1.983,0.006,0.011,0.009,0.004,0.004,0.002,0.012,0.000,0.001,0.000,0.010,0.002,100.3,100.3,10.1,6.0,0.856,-0.049,0.021,
MU19-15,21,10.019,0.014,5.950,1.892,0.005,0.103,0.009,0.000,0.000,0.001,0.029,0.004,0.000,0.000,0.032,0.000,99.8,99.8,10.1,6.0,0.855,-0.045,0.014,
MU19-15,22,10.084,0.002,5.944,1.977,0.004,0.019,0.015,0.000,0.001,0.002,0.021,0.000,0.002,0.001,0.013,0.000,100.1,100.1,10.1,6.0,0.857,-0.052,0.018,
MU19-15,23,10.059,0.006,5.945,1.585,0.006,0.409,0.012,0.000,0.002,0.000,0.023,0.000,0.000,0.000,0.020,0.004,99.6,99.6,10.1,6.0,0.839,0.004,0.828,0.010
MU19-15,24,9.982,0.013,5.968,1.633,0.005,0.362,0.006,0.000,0.001,0.000,0.023,0.003,0.001,0.000,0.027,0.002,99.8,99.8,10.0,6.0,0.845,-0.013,0.004,
MU19-15,25,9.994,0.016,5.967,1.897,0.005,0.098,0.010,0.000,0.004,0.000,0.016,0.000,0.000,0.000,0.020,0.001,100.3,100.3,10.0,6.0,0.852,-0.037,0.014,
MU19-15,26,10.038,0.011,5.948,1.631,0.005,0.364,0.007,0.001,0.005,0.002,0.023,0.002,0.003,0.000,0.022,0.002,99.8,99.8,10.1,6.0,0.839,0.003,0.828,0.008
MU19-15,27,10.066,0.012,5.939,2.148,0.005,0.000,0.007,0.003,0.002,0.001,0.024,0.000,0.000,0.000,0.024,0.000,100.0,100.0,10.1,6.0,0.858,-0.056,0.014,
